"productName","starTechPrice","ryansPrice","priceDifference"
"Dell Inspiron 15 3510 Intel Pentium Silver N5030 156 HD Laptop","TBA"
"Dell Inspiron 15 3511 Core i5 11th Gen 512GB SSD 156 FHD Laptop","TBA"
"Dell Latitude 14 3420 Core i3 11th Gen 14 HD Laptop","TBA"
"Dell Latitude 15-3520 Core i3 1115G4 156 HD Laptop","TBA"
"Dell Latitude 3430 Core i5 12th Gen 14 FHD Laptop","TBA"
"Dell Vostro 14 3400 Core i3 11th Gen 14 HD Laptop","TBA"
"Dell Vostro 14 3405 Ryzen 3 3250U 14 FHD Laptop with Windows 10","TBA"
"Dell Vostro 15 3500 Core i3 11th Gen 156 FHD Laptop with 3 Years Warranty","TBA"
"Huawei MateBook D15 Core i3 11th Gen 156 FHD Laptop","60500 63999"
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 156 FHD Laptop with DDR5 RAM","60500"
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 512GB SSD 14 FHD Laptop","61000"
"Acer Extensa 15 EX215-54-57SB Core i5 11th Gen 156 FHD Laptop","64000"
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 8GB RAM 156 FHD Laptop","65500"
"ASUS VivoBook 15 X515JA Core i5 10th Gen 156 FHD Laptop with 256GB SSD+1TB HDD","59500 65000"
"Dell Inspiron 14 7420 2 in 1 Intel Core i5 12th Gen 14 360° FHD Touch Laptop","TBA"
"Dell Inspiron 15 3511 Core i5 11th Gen 512GB SSD MX350 2GB Graphics with Fingerprint","TBA"
"Dell Inspiron 15 3525 Ryzen 7 5825U 156 FHD Laptop","TBA"
"Dell Inspiron 16 5620 Core i7 12th Gen 16 FHD+ Laptop","TBA"
"Dell Latitude 14 3420 Core i3 11th Gen 14 FHD Laptop","TBA"
"Dell Latitude 14 3420 Core i5 11th Gen 14 HD Laptop","TBA"
"Dell Latitude 14 3420 Core i5 11th Gen 512GB SSD 14 HD Laptop","TBA"
"Dell Latitude 14 3420 Core i7 11th Gen MX350 2GB Graphics 14 FHD Laptop","TBA"
"Dell Latitude 5320 Core i7 11th Gen 133 FHD Laptop","TBA"
"Dell Vostro 14 3400 Core i5 11th Gen 8GB RAM 14 FHD Laptop","TBA"
"Dell Vostro 15 3510 Core i5 11th Gen MX350 2GB Graphics 156 FHD Laptop","TBA"
"Dell XPS 13 9310 Core i5 11th Gen 512GB SSD 134 Full HD Laptop","TBA"
"HP 15s-fq5786TU Core i3 12th Gen 156 FHD Laptop","64700"
"HUAWEI MateBook B3-520 Core i3 11th Gen 156 FHD Laptop","59850 63999"
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 512GB SSD 156 FHD Laptop with DDR5 RAM","65000"
"Lenovo IdeaPad Slim 3i 15IAU7 Core i3 12th Gen 156 FHD Laptop","64000"
"Walton Passion BX510U Core i5 10th Gen 156 FHD Laptop","64550"
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 14 FHD Laptop","69000"
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 156 FHD Laptop","69800"
"ASUS Vivobook 15 X1504VA-NJ260W Core i3 13th Gen 156 FHD Laptop","70800"
"ASUS VivoBook 15 X515EA Core i5 11th Gen 156 FHD Laptop","68500"
"Asus Vivobook S15 S513EA Core i3 11th Gen 156 OLED FHD Laptop","69800"
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 156 OLED FHD Laptop","66000"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Anchor Grey","70950"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Aqua Blue","70950"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Infinite Black","70950"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Soft Lavender","70950"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Star Silver","70950"
"Dell Latitude 9430 2-in-1 Core i7 12th Gen 14 QHD+ Touch Laptop","TBA"
"Dell XPS 13 9315 Intel Core i7 12th Gen 134 FHD Touch Laptop","TBA"
"Dell XPS 13 Plus 9320 Intel Core i7 12th Gen 134 35K OLED Touch Laptop","TBA"
"Dell XPS 15 9510 Core i7 11th Gen RTX 3050 Ti 4GB Graphics 156 FHD Laptop","TBA"
